o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
Nevada,Colorado,49,36.419,-115.493,39.059,-105.275
Connecticut,Arkansas,1,41.508,-73.237,34.722,-92.342
Texas,Ohio,42,31.575,-97.667,40.592,-82.451
Massachusetts,Alabama,3,42.293,-71.487,32.783,-86.403
North Carolina,Kentucky,37,35.654,-80.477,37.8,-84.984
New York,Texas,195,41.005,-74.185,31.259,-97.079
New Hampshire,Massachusetts,350,42.964,-71.415,42.442,-71.294
South Dakota,Texas,2,43.107,-96.705,32.911,-97.059
California,Missouri,84,35.024,-119.235,38.629,-92.712
Oklahoma,Washington,4,35.585,-98.722,47.743,-122.36
New Mexico,Nebraska,2,35.281,-105.565,40.94,-97.23
California,Maryland,62,34.807,-119.106,39.03,-76.718
Rhode Island,New Hampshire,6,41.827,-71.467,43.3,-71.399
Nevada,Wisconsin,5,36.158,-115.171,43.105,-88.686
Texas,Virginia,80,31.153,-96.756,38.044,-77.829
Tennessee,Montana,1,36.162,-86.779,46.004,-112.534
Rhode Island,Alaska,1,41.849,-71.395,61.174,-149.893
Minnesota,Montana,2,45.698,-94.448,47.33,-111.832
Tennessee,Missouri,61,35.769,-87.387,38.091,-91.728
North Carolina,Michigan,20,35.443,-80.221,42.392,-83.506
Tennessee,Maryland,14,35.754,-86.11,39.136,-76.741
Oregon,Idaho,38,45.058,-119.726,44.324,-116.107
Colorado,Ohio,10,39.606,-104.623,40.703,-82.748
Alaska,Alaska,3089,61.646,-149.958,61.647,-149.958
Arkansas,Pennsylvania,4,35.131,-93.871,41.086,-78.426
California,Washington,222,35.826,-119.61,47.456,-122.052
Pennsylvania,Maryland,337,40.074,-76.17,39.256,-76.726
Vermont,New Jersey,2,44.455,-73.184,40.333,-74.222
Idaho,Georgia,1,43.598,-116.238,32.678,-83.174
Rhode Island,Maryland,6,41.647,-71.404,39.105,-76.782
Oregon,Iowa,4,45.485,-123.007,42.129,-92.611
Florida,Maryland,87,27.583,-81.43,39.117,-76.765
Arizona,Louisiana,7,33.486,-111.444,30.518,-91.304
Wisconsin,Maryland,5,43.29,-88.491,39.234,-76.765
Nevada,Idaho,26,38.676,-116.249,44.155,-114.918
Missouri,Georgia,39,38.565,-91.854,33.232,-83.925
Missouri,North Dakota,1,38.73,-90.361,47.468,-100.302
Idaho,Texas,6,43.608,-115.494,31.526,-97.813
Washington,Idaho,99,47.215,-119.048,45.787,-116.132
Georgia,New Jersey,29,33.696,-84.048,40.384,-74.475
New York,Washington,24,40.849,-74.085,47.211,-122.353
Alabama,Illinois,8,32.963,-86.763,40.869,-88.29
Illinois,District of Columbia,12,41.297,-88.154,38.895,-77.019
New Hampshire,Illinois,3,42.896,-71.404,41.828,-87.702
Illinois,Nebraska,21,41.427,-88.035,41.175,-98.151
Texas,South Dakota,2,32.193,-97.134,44.227,-96.94
Mississippi,Nevada,1,32.336,-90.321,36.061,-115.135
Wyoming,Wyoming,1091,42.59,-107.001,42.642,-107.062
Massachusetts,Connecticut,369,42.232,-71.71,41.586,-72.732
Illinois,New Mexico,19,41.251,-88.22,35.74,-106.815
Florida,New York,273,27.318,-81.083,40.996,-74.188
North Carolina,Florida,170,35.434,-79.801,27.789,-81.376
Maine,Vermont,1,44.213,-69.076,43.872,-72.451
District of Columbia,Washington,6,38.9,-77.025,47.113,-122.08
Wyoming,Kansas,2,43.528,-107.536,39.056,-100.739
Missouri,Oregon,5,38.759,-90.867,44.5,-122.924
Iowa,Virginia,5,41.801,-93.003,38.003,-77.386
Kentucky,Ohio,404,38.749,-84.478,39.41,-83.951
Indiana,Alabama,12,39.615,-86.23,32.878,-87.055
Virginia,Arizona,10,38.144,-77.347,33.877,-111.977
Maryland,Minnesota,6,39.164,-76.752,46.04,-93.345
Nebraska,North Carolina,4,41.112,-97.186,35.571,-80.145
Oregon,Vermont,1,44.631,-123.096,42.86,-72.563
Virginia,Florida,104,38.004,-77.529,27.639,-81.479
Minnesota,Utah,5,45.005,-93.363,40.548,-111.856
New Hampshire,Indiana,2,42.949,-71.44,39.851,-86.699
Arkansas,District of Columbia,2,34.788,-92.372,38.899,-77.014
Florida,Georgia,657,28.257,-81.855,32.82,-83.505
Wyoming,Montana,8,44.141,-108.371,45.88,-109.969
Kentucky,Virginia,11,38.04,-84.778,37.948,-78.925
Utah,South Carolina,1,40.766,-111.917,33.631,-80.927
Oregon,Virginia,6,45.24,-122.681,37.864,-77.526
Oklahoma,Arkansas,59,35.654,-96.014,35.184,-92.979
Minnesota,Texas,29,44.983,-93.259,30.878,-97.575
Alaska,New York,1,64.757,-147.305,41.206,-74.02
Delaware,Texas,1,39.787,-75.68,29.838,-95.446
Nevada,South Carolina,4,36.087,-115.056,34.043,-80.803
Massachusetts,Maryland,16,42.207,-71.235,39.14,-76.883
Utah,Pennsylvania,5,40.354,-111.376,40.579,-75.657
Missouri,Nevada,27,38.638,-92.393,36.179,-115.234
New Hampshire,Ohio,3,43.151,-71.12,41.541,-83.277
Georgia,Missouri,17,33.682,-84.233,38.321,-92.953
Nevada,Florida,26,36.203,-115.278,27.179,-81.088
Utah,Virginia,4,40.736,-111.827,38.836,-77.252
Indiana,New Hampshire,1,40.267,-86.135,42.934,-72.278
Arkansas,Minnesota,4,35.435,-93.663,45.219,-93.228
Nevada,Arizona,222,36.258,-115.198,34.4,-112.305
West Virginia,Ohio,160,39.124,-81.278,39.923,-82.133
Connecticut,Utah,1,41.93,-72.683,40.764,-111.894
District of Columbia,Nevada,4,38.899,-77.033,37.219,-116.741
Connecticut,Indiana,2,41.897,-72.744,39.773,-86.292
Indiana,District of Columbia,5,39.963,-86.182,38.898,-77.018
Rhode Island,Maine,1,41.521,-71.273,43.698,-70.352
Idaho,Virginia,2,43.933,-116.308,38.077,-78.53
California,Pennsylvania,82,34.635,-118.835,40.283,-76.879
Tennessee,Colorado,24,35.975,-86.58,39.128,-105.455
Hawaii,Utah,4,21.338,-157.839,40.578,-111.859
Iowa,Georgia,14,41.795,-93.272,33.393,-84.006
Missouri,New Jersey,9,38.064,-92.055,40.539,-74.303
Vermont,Massachusetts,36,43.597,-72.733,42.333,-71.76
South Dakota,Georgia,2,44.276,-98.987,32.678,-83.174
Minnesota,Indiana,9,44.827,-93.122,39.853,-86.386
Michigan,Kansas,12,42.498,-83.324,38.984,-98.381
Wisconsin,Colorado,3,43.004,-88.436,39.682,-105.345
Arkansas,Arizona,3,34.74,-93.334,34.054,-112.141
West Virginia,Arkansas,1,37.978,-82.074,34.722,-92.342
South Carolina,Minnesota,4,33.283,-80.477,45.839,-93.524
Pennsylvania,Washington,11,40.071,-75.697,47.603,-121.835
Florida,Tennessee,96,28.028,-81.696,35.824,-86.035
New York,South Carolina,50,41.046,-74.548,33.793,-80.656
Minnesota,Rhode Island,2,43.507,-92.499,41.816,-71.385
Ohio,Connecticut,13,40.255,-82.955,41.341,-73.076
Pennsylvania,Colorado,21,40.186,-76.115,39.316,-105.209
South Carolina,California,20,33.889,-80.885,35.253,-118.982
Arkansas,North Carolina,12,35.345,-93.183,35.49,-80.207
Pennsylvania,Georgia,48,40.31,-77.023,33.628,-84.063
Illinois,Michigan,168,41.722,-87.867,42.604,-84.587
South Dakota,Illinois,7,44.708,-98.201,41.589,-88.356
Kentucky,Arkansas,9,37.654,-85.02,35.105,-92.531
Florida,Colorado,64,27.828,-81.749,39.49,-105.449
Rhode Island,Vermont,2,41.817,-71.422,44.303,-72.815
New Jersey,Illinois,26,40.579,-74.296,41.407,-87.936
Illinois,Massachusetts,28,41.798,-87.82,42.318,-71.256
Delaware,Kansas,1,39.62,-75.685,37.862,-95.43
Wisconsin,Utah,1,44.219,-88.444,37.421,-109.592
Idaho,Illinois,1,46.42,-115.402,41.834,-87.732
Illinois,Louisiana,23,41.626,-87.858,30.441,-90.998
Hawaii,Oregon,5,21.278,-157.63,44.746,-121.788
Washington,Maryland,2,47.529,-122.313,39.479,-76.378
Georgia,Arizona,31,33.612,-84.341,33.518,-111.866
Oregon,Texas,18,44.957,-122.416,31.499,-97.795
Pennsylvania,Utah,2,40.992,-75.816,40.772,-111.929
Michigan,Indiana,158,42.439,-84.838,40.74,-86.123
Wyoming,North Dakota,1,43.425,-106.787,48.233,-101.268
California,Florida,197,34.821,-119.067,27.447,-81.231
Tennessee,Arizona,11,35.698,-88.086,33.616,-111.814
Colorado,New Jersey,7,38.878,-105.387,40.332,-74.541
Pennsylvania,Hawaii,5,40.598,-77.236,21.394,-157.889
Missouri,Pennsylvania,14,38.582,-91.262,40.412,-77.032
Iowa,Arkansas,1,42.038,-91.587,35.279,-93.131
Maine,Kansas,1,44.1,-70.215,38.954,-94.734
New Hampshire,Michigan,1,43.137,-70.929,42.66,-84.643
Florida,California,213,27.588,-81.348,35.12,-119.265
South Dakota,California,2,43.544,-96.726,34.116,-118.196
Montana,North Carolina,1,45.744,-111.195,35.209,-80.847
California,Rhode Island,10,34.925,-119.254,41.779,-71.406
Louisiana,Pennsylvania,9,30.706,-90.897,40.228,-76.585
New Hampshire,Kansas,2,43.021,-71.115,38.816,-94.773
New York,Rhode Island,41,40.918,-74.014,41.755,-71.429
Maine,Virginia,6,43.679,-70.295,38.866,-77.142
Nevada,Kentucky,8,36.103,-115.143,38.117,-85.463
Illinois,West Virginia,11,40.565,-88.487,38.673,-80.848
North Carolina,Alaska,1,35.128,-80.705,61.143,-149.868
Maryland,Utah,2,39.261,-76.75,40.508,-111.81
Hawaii,South Carolina,2,20.631,-156.836,33.317,-81.045
Missouri,Kansas,831,38.975,-94.349,38.797,-95.766
Alabama,Oklahoma,5,33.271,-86.983,35.078,-96.751
New Jersey,Oregon,5,40.333,-74.595,44.71,-122.533
New Jersey,South Carolina,20,40.516,-74.306,33.824,-81.297
