o_place,d_place,cnt,o_lat,o_lon,d_lat,d_lon
01,42,3832,32.892,-86.831,40.422,-77.081
31,16,494,41.047,-97.979,44.473,-115.313
35,33,42,34.031,-106.716,43.32,-71.637
38,16,727,47.595,-101.232,44.258,-115.33
13,35,1843,33.286,-83.768,34.712,-106.404
01,05,7409,33.131,-86.866,35.099,-91.978
30,30,865586,46.697,-111.306,46.69,-111.324
38,39,481,47.53,-100.362,40.535,-82.823
09,49,320,41.41,-73.115,40.394,-111.672
34,38,75,40.512,-74.525,47.226,-98.905
51,25,3605,37.886,-77.858,42.262,-71.329
53,53,5862402,47.313,-121.661,47.319,-121.677
17,06,16903,41.565,-88.145,35.111,-118.971
11,55,76,38.914,-77.017,43.719,-88.665
12,42,29724,27.859,-81.666,40.466,-76.972
56,38,746,43.149,-106.963,47.487,-102.034
21,01,7923,37.683,-85.578,33.307,-86.811
24,39,3581,39.119,-76.797,40.573,-82.523
27,15,1348,44.904,-93.389,20.944,-157.124
37,47,53604,35.588,-80.827,35.934,-84.56
36,26,7315,42.127,-75.531,42.64,-83.703
34,50,2890,40.559,-74.334,43.544,-72.863
24,02,66,39.013,-76.657,61.217,-149.348
18,06,7671,40.332,-86.443,35.061,-119.013
23,23,1052001,44.288,-69.745,44.258,-69.75
34,04,1974,40.4,-74.418,33.59,-112.057
54,35,224,38.924,-80.546,34.242,-106.491
46,05,346,44.219,-99.384,34.867,-92.718
18,46,545,40.465,-86.345,43.953,-99.669
27,55,66277,45.07,-92.959,44.759,-91.251
48,37,17423,30.967,-97.497,35.44,-79.954
06,32,99081,35.99,-119.387,37.461,-116.904
33,36,4024,43.158,-71.551,41.498,-74.322
41,23,100,44.835,-122.135,44.271,-69.791
15,30,126,20.901,-157.184,46.089,-111.905
17,46,1168,41.197,-88.542,43.906,-98.888
24,11,88151,38.989,-76.897,38.907,-77.014
21,29,7672,37.43,-86.596,38.053,-91.344
09,32,356,41.465,-72.893,36.332,-115.346
38,13,675,47.632,-100.075,33.495,-83.998
55,34,1166,43.341,-89.197,40.503,-74.393
45,72,274,33.841,-80.822,18.347,-66.205
15,17,699,21.303,-157.781,41.375,-88.173
30,06,4597,46.578,-111.721,35.767,-119.405
29,28,4959,37.857,-92.075,33.159,-89.611
33,11,82,43.227,-71.493,38.903,-77.026
51,42,23954,38.0,-77.927,40.378,-76.928
32,18,1119,36.541,-115.613,40.538,-86.383
35,56,310,34.585,-106.099,42.16,-107.07
48,10,643,31.191,-97.183,39.342,-75.565
26,13,12387,42.767,-84.243,33.356,-83.975
08,27,3969,39.634,-105.165,45.181,-93.44
54,06,837,38.906,-80.548,35.047,-118.752
08,08,4969154,39.571,-105.086,39.572,-105.099
26,28,1853,43.042,-84.236,32.16,-89.497
36,08,4085,41.511,-74.692,39.561,-105.479
72,72,724233,18.3,-66.303,18.307,-66.302
49,38,306,40.093,-111.745,47.536,-101.294
10,21,189,39.145,-75.553,37.973,-84.842
55,15,541,43.659,-88.965,21.187,-157.596
35,30,210,34.099,-105.906,46.338,-111.423
56,02,112,41.644,-107.971,62.6,-150.136
18,13,12911,39.736,-86.402,33.43,-84.045
46,50,14,45.002,-98.573,44.433,-73.004
49,17,1676,40.326,-111.916,41.352,-88.356
08,55,2755,39.552,-105.098,43.696,-89.181
24,44,216,39.111,-76.683,41.721,-71.453
54,33,80,39.014,-80.368,43.309,-71.37
08,12,19862,39.536,-105.152,27.699,-81.759
26,22,1966,43.045,-84.405,30.543,-91.119
28,10,150,32.044,-89.245,39.136,-75.411
31,05,1013,41.105,-97.256,35.351,-92.903
34,29,1084,40.37,-74.457,38.484,-92.44
32,06,60203,37.432,-116.893,35.995,-119.29
29,22,4112,38.08,-92.549,30.926,-91.683
16,25,158,44.277,-113.98,42.25,-71.097
55,11,167,43.268,-88.667,38.907,-77.032
09,30,118,41.423,-73.157,45.984,-111.919
35,20,864,34.358,-105.771,38.163,-97.365
49,28,636,40.47,-111.908,32.871,-89.52
53,11,216,47.447,-121.332,38.894,-77.022
10,25,460,39.297,-75.571,42.27,-71.455
20,33,99,38.737,-95.743,43.365,-71.339
46,39,542,43.982,-99.075,40.528,-82.528
51,31,585,37.854,-77.514,41.049,-97.665
17,12,84366,41.356,-88.373,27.378,-81.725
40,51,1940,35.554,-96.967,37.814,-77.787
40,45,1255,35.494,-96.868,33.993,-80.873
30,26,330,46.711,-109.887,43.34,-84.725
02,04,1518,62.332,-149.119,33.478,-111.796
12,56,2778,28.042,-81.957,42.512,-107.825
45,46,145,34.224,-81.008,43.963,-100.439
04,10,224,33.475,-111.684,39.361,-75.578
34,44,663,40.607,-74.348,41.676,-71.459
29,33,163,38.403,-91.873,43.143,-71.391
15,23,18,21.327,-157.944,43.775,-70.025
